,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600298.SH,20191127,30.45,31.29,30.3,30.95,30.27,0.6799999999999997,2.2464,62737.48,194045.123
1,600298.SH,20191126,30.82,31.15,30.27,30.27,30.83,-0.5599999999999987,-1.8164,78525.94,239931.111
2,600298.SH,20191125,30.95,31.07,30.2,30.83,30.91,-0.08000000000000185,-0.2588,51184.87,157045.554
3,600298.SH,20191122,30.82,31.77,30.59,30.91,30.98,-0.07000000000000028,-0.226,94235.66,292912.765
4,600298.SH,20191121,30.6,31.1,30.5,30.98,30.49,0.490000000000002,1.6071,41826.34,129194.517
5,600298.SH,20191120,30.81,31.2,30.37,30.49,30.95,-0.46000000000000085,-1.4863,57005.11,175067.677
6,600298.SH,20191119,31.1,31.26,30.75,30.95,31.11,-0.16000000000000014,-0.5143,48621.12,150418.782
7,600298.SH,20191118,30.98,31.36,30.71,31.11,30.87,0.23999999999999844,0.7775,33957.4,105389.716
8,600298.SH,20191115,30.95,31.28,30.71,30.87,30.95,-0.0799999999999983,-0.2585,37040.16,114644.577
9,600298.SH,20191114,30.99,31.24,30.56,30.95,30.9,0.05000000000000071,0.1618,45722.75,141275.037
10,600298.SH,20191113,31.02,31.37,30.66,30.9,31.1,-0.20000000000000284,-0.6431,52816.45,163510.074
11,600298.SH,20191112,30.42,31.2,30.28,31.1,30.4,0.7000000000000028,2.3026,56086.7,172045.948
12,600298.SH,20191111,30.56,31.06,30.31,30.4,30.7,-0.3000000000000007,-0.9772,50502.5,154559.753
13,600298.SH,20191108,30.78,31.08,30.68,30.7,30.5,0.1999999999999993,0.6557,47462.66,146640.668
14,600298.SH,20191107,30.31,30.66,30.26,30.5,30.27,0.23000000000000043,0.7598,39403.49,120051.522
15,600298.SH,20191106,30.63,30.85,30.15,30.27,30.68,-0.41000000000000014,-1.3364,51168.24,155524.997
16,600298.SH,20191105,30.49,30.85,30.13,30.68,30.42,0.259999999999998,0.8547,63248.45,192921.219
