Date,PositionIndex,MarketValue
2020-01-02,000300.XSHG,0.9995233762294725
2020-01-03,000905.XSHG,0.9973067266618489
2020-01-06,000905.XSHG,1.0073546015712165
2020-01-07,399006.XSHE,1.0191712993084854
2020-01-08,399006.XSHE,1.0027468580991628
2020-01-09,399006.XSHE,1.0299002115766533
2020-01-10,399006.XSHE,1.0250821601566784
2020-01-13,399006.XSHE,1.0417057833800114
2020-01-14,399006.XSHE,1.0349712779873983
2020-01-15,399006.XSHE,1.035875671996958
2020-01-16,EMPTY,1.0375552608718543
2020-01-17,399006.XSHE,1.0316722238336775
2020-01-20,399006.XSHE,1.0581885985783457
2020-01-21,399006.XSHE,1.0501007572781298
2020-01-22,399006.XSHE,1.0644453312541564
2020-01-23,EMPTY,1.0226875130031408
2020-02-03,EMPTY,1.0226875130031408
2020-02-04,EMPTY,1.0226875130031408
2020-02-05,399006.XSHE,1.0315424338243195
2020-02-06,399006.XSHE,1.070169034379408
2020-02-07,399006.XSHE,1.07205702050044
2020-02-10,399006.XSHE,1.086086618774476
2020-02-11,399006.XSHE,1.0787793147454672
2020-02-12,399006.XSHE,1.1090083657650351
2020-02-13,399006.XSHE,1.0980101818261774
2020-02-14,EMPTY,1.0938087479230354
2020-02-17,399006.XSHE,1.097295667217046
2020-02-18,399006.XSHE,1.109960035386056
2020-02-19,399006.XSHE,1.0938496502021438
2020-02-20,399006.XSHE,1.1180331227251223
2020-02-21,399006.XSHE,1.1384331344305525
2020-02-24,399006.XSHE,1.1575191604196178
2020-02-25,399006.XSHE,1.1694524003495612
2020-02-26,EMPTY,1.125845458034871
2020-02-27,EMPTY,1.125845458034871
2020-02-28,EMPTY,1.125845458034871
2020-03-02,000905.XSHG,1.1210176711186852
2020-03-03,000905.XSHG,1.1316403878143977
2020-03-04,000905.XSHG,1.1329266085486358
2020-03-05,000300.XSHG,1.1493209481844358
2020-03-06,000905.XSHG,1.1300810799578394
2020-03-09,EMPTY,1.0906527619245212
2020-03-10,EMPTY,1.0906527619245212
2020-03-11,EMPTY,1.0906527619245212
2020-03-12,EMPTY,1.0906527619245212
2020-03-13,EMPTY,1.0906527619245212
2020-03-16,EMPTY,1.0906527619245212
2020-03-17,EMPTY,1.0906527619245212
2020-03-18,EMPTY,1.0906527619245212
2020-03-19,EMPTY,1.0906527619245212
2020-03-20,EMPTY,1.0906527619245212
2020-03-23,EMPTY,1.0906527619245212
2020-03-24,EMPTY,1.0906527619245212
2020-03-25,EMPTY,1.0906527619245212
2020-03-26,EMPTY,1.0906527619245212
2020-03-27,EMPTY,1.0906527619245212
2020-03-30,EMPTY,1.0906527619245212
2020-03-31,EMPTY,1.0906527619245212
2020-04-01,EMPTY,1.0906527619245212
2020-04-02,000016.XSHG,1.096360516618763
2020-04-03,000016.XSHG,1.091898310088731
2020-04-07,000016.XSHG,1.1114844541984212
2020-04-08,000016.XSHG,1.1060346771174785
2020-04-09,399006.XSHE,1.1106420685769915
2020-04-10,EMPTY,1.0856168359513547
2020-04-13,EMPTY,1.0856168359513547
2020-04-14,000016.XSHG,1.088841475244164
2020-04-15,399006.XSHE,1.0798473747317923
2020-04-16,399006.XSHE,1.0967098365811472
2020-04-17,399006.XSHE,1.1034701111179026
2020-04-20,399006.XSHE,1.1158493860571796
2020-04-21,EMPTY,1.104758822580483
2020-04-22,399006.XSHE,1.1083499464937103
2020-04-23,EMPTY,1.103337562058934
2020-04-24,EMPTY,1.103337562058934
2020-04-27,000016.XSHG,1.1040893072257305
2020-04-28,399006.XSHE,1.1112880770955094
2020-04-29,399006.XSHE,1.1111567398661015
2020-04-30,399006.XSHE,1.132471677722069
2020-05-06,399006.XSHE,1.1548208962596225
2020-05-07,399006.XSHE,1.1529438683560034
2020-05-08,399006.XSHE,1.1630130559439313
2020-05-11,000300.XSHG,1.1485313058577968
2020-05-12,EMPTY,1.145918225880175
2020-05-13,399006.XSHE,1.1448325848001701
2020-05-14,399006.XSHE,1.1325161739270142
2020-05-15,399006.XSHE,1.136077932347128
2020-05-18,399006.XSHE,1.1310240859402099
2020-05-19,000905.XSHG,1.1470602138031676
2020-05-20,EMPTY,1.1347995537531075
2020-05-21,EMPTY,1.1347995537531075
2020-05-22,EMPTY,1.1347995537531075
2020-05-25,EMPTY,1.1347995537531075
2020-05-26,EMPTY,1.1347995537531075
2020-05-27,EMPTY,1.1347995537531075
2020-05-28,EMPTY,1.1347995537531075
2020-05-29,EMPTY,1.1347995537531075
2020-06-01,399006.XSHE,1.1353256009591195
2020-06-02,000016.XSHG,1.1267652294293564
2020-06-03,000016.XSHG,1.1280107182446664
2020-06-04,000016.XSHG,1.1257657148941858
2020-06-05,399006.XSHE,1.1295921058186764
2020-06-08,000300.XSHG,1.1218325974169596
2020-06-09,399006.XSHE,1.1292935726532844
2020-06-10,399006.XSHE,1.1398535719575198
2020-06-11,399006.XSHE,1.1365665133505642
2020-06-12,399006.XSHE,1.1423227482654221
2020-06-15,399006.XSHE,1.1489434537115581
2020-06-16,399006.XSHE,1.1701203934927478
2020-06-17,399006.XSHE,1.1719321580792588
2020-06-18,399006.XSHE,1.173003687420424
2020-06-19,399006.XSHE,1.2006563914808286
2020-06-22,399006.XSHE,1.2127848612699579
2020-06-23,399006.XSHE,1.2330610952281393
2020-06-24,399006.XSHE,1.2332785069785206
2020-06-29,EMPTY,1.2247425075409304
2020-06-30,399006.XSHE,1.230668208784112
2020-07-01,399006.XSHE,1.2212951021328444
2020-07-02,399006.XSHE,1.2236976862825502
2020-07-03,000300.XSHG,1.2489949954451278
2020-07-06,000016.XSHG,1.3188982533890836
2020-07-07,000016.XSHG,1.321876791532381
2020-07-08,000016.XSHG,1.3407095956982678
2020-07-09,399006.XSHE,1.3493607133384873
2020-07-10,399006.XSHE,1.3595433675711033
2020-07-13,399006.XSHE,1.4138427015544486
2020-07-14,399006.XSHE,1.3987913587291112
2020-07-15,399006.XSHE,1.3764736816724257
2020-07-16,EMPTY,1.3131171189603095
2020-07-17,EMPTY,1.3131171189603095
2020-07-20,EMPTY,1.3131171189603095
2020-07-21,399006.XSHE,1.3128820340541019
2020-07-22,399006.XSHE,1.3284839955844596
2020-07-23,399006.XSHE,1.3431839986991632
2020-07-24,EMPTY,1.271128076120921
2020-07-27,EMPTY,1.271128076120921
2020-07-28,EMPTY,1.271128076120921
2020-07-29,EMPTY,1.271128076120921
2020-07-30,EMPTY,1.271128076120921
2020-07-31,EMPTY,1.271128076120921
