,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
1,14:30:00,4,7,15.73%,-0.109162143,62,50.00%
0,14:30:00,4,4,11.71%,-0.121392428,64,50.00%
37,14:30:00,16,7,6.00%,-0.092248794,35,54.29%
14,14:30:00,7,19,5.86%,-0.095428733,30,46.67%
10,14:30:00,7,7,5.51%,-0.13120268,36,50.00%
5,14:30:00,4,19,5.42%,-0.095546421,46,47.83%
7,14:30:00,4,25,3.49%,-0.079280724,39,51.28%
9,14:30:00,7,4,3.30%,-0.126691558,40,42.50%
6,14:30:00,4,22,3.18%,-0.089642201,44,47.73%
17,14:30:00,7,28,2.32%,-0.116133406,26,46.15%
8,14:30:00,4,28,2.12%,-0.091479973,41,48.78%
16,14:30:00,7,25,1.74%,-0.114025959,27,44.44%
2,14:30:00,4,10,1.68%,-0.141080456,56,48.21%
15,14:30:00,7,22,1.19%,-0.12593217,29,41.38%
4,14:30:00,4,16,0.33%,-0.143196071,52,48.08%
38,14:30:00,16,10,0.26%,-0.119798309,33,48.48%
64,14:30:00,25,7,0.12%,-0.078807856,28,46.43%
11,14:30:00,7,10,-0.77%,-0.176604224,39,48.72%
13,14:30:00,7,16,-1.06%,-0.154532587,33,42.42%
73,14:30:00,28,7,-1.43%,-0.125433139,24,50.00%
29,14:30:00,13,10,-2.17%,-0.178148834,35,34.29%
40,14:30:00,16,16,-2.24%,-0.141674311,35,48.57%
28,14:30:00,13,7,-3.43%,-0.159477207,34,38.24%
39,14:30:00,16,13,-3.44%,-0.139295212,35,48.57%
31,14:30:00,13,16,-5.63%,-0.182450704,35,40.00%
19,14:30:00,10,7,-5.65%,-0.19049866,37,35.14%
12,14:30:00,7,13,-6.28%,-0.208405655,39,38.46%
65,14:30:00,25,10,-6.45%,-0.136489936,30,36.67%
3,14:30:00,4,13,-6.64%,-0.187313533,54,44.44%
55,14:30:00,22,7,-6.73%,-0.165038435,30,40.00%
30,14:30:00,13,13,-7.52%,-0.18772327,34,35.29%
76,14:30:00,28,16,-7.71%,-0.163638618,24,37.50%
47,14:30:00,19,10,-8.43%,-0.196966984,26,38.46%
20,14:30:00,10,10,-8.68%,-0.205094096,36,36.11%
27,14:30:00,13,4,-8.79%,-0.166583604,39,41.03%
63,14:30:00,25,4,-8.90%,-0.16570562,35,42.86%
36,14:30:00,16,4,-8.95%,-0.174464744,39,46.15%
56,14:30:00,22,10,-9.11%,-0.175233881,32,34.38%
46,14:30:00,19,7,-10.13%,-0.199877553,28,35.71%
22,14:30:00,10,16,-10.64%,-0.213611375,33,42.42%
23,14:30:00,10,19,-10.64%,-0.213591805,29,37.93%
24,14:30:00,10,22,-11.04%,-0.217141262,26,38.46%
72,14:30:00,28,4,-11.24%,-0.169382435,32,43.75%
75,14:30:00,28,13,-11.52%,-0.185968565,22,40.91%
25,14:30:00,10,25,-11.59%,-0.221998467,25,40.00%
41,14:30:00,16,19,-11.82%,-0.228426267,35,42.86%
49,14:30:00,19,16,-12.16%,-0.217848037,25,36.00%
26,14:30:00,10,28,-12.75%,-0.232136735,26,38.46%
74,14:30:00,28,10,-12.96%,-0.211388113,24,37.50%
58,14:30:00,22,16,-13.29%,-0.21312173,28,39.29%
48,14:30:00,19,13,-13.42%,-0.21735653,24,37.50%
18,14:30:00,10,4,-13.73%,-0.240777133,44,38.64%
57,14:30:00,22,13,-14.54%,-0.212686519,27,37.04%
42,14:30:00,16,22,-14.72%,-0.236504022,32,43.75%
21,14:30:00,10,13,-15.05%,-0.252414736,33,39.39%
67,14:30:00,25,16,-15.08%,-0.216033918,31,32.26%
33,14:30:00,13,22,-15.98%,-0.260460267,30,33.33%
43,14:30:00,16,25,-16.12%,-0.249103107,33,42.42%
32,14:30:00,13,19,-16.43%,-0.270519702,32,31.25%
44,14:30:00,16,28,-16.59%,-0.253307237,35,42.86%
34,14:30:00,13,25,-17.82%,-0.268534147,27,33.33%
77,14:30:00,28,19,-18.46%,-0.263580704,21,38.10%
50,14:30:00,19,19,-18.63%,-0.277950223,24,33.33%
59,14:30:00,22,19,-18.84%,-0.265987282,25,32.00%
35,14:30:00,13,28,-19.57%,-0.284133003,30,30.00%
66,14:30:00,25,13,-20.01%,-0.25106778,30,26.67%
69,14:30:00,25,22,-21.27%,-0.263076104,25,28.00%
68,14:30:00,25,19,-21.28%,-0.275708455,26,30.77%
45,14:30:00,19,4,-21.73%,-0.28565747,37,29.73%
51,14:30:00,19,22,-21.97%,-0.291538415,24,33.33%
52,14:30:00,19,25,-21.97%,-0.291538415,24,33.33%
60,14:30:00,22,22,-22.17%,-0.279800604,25,32.00%
70,14:30:00,25,25,-22.29%,-0.272619976,27,29.63%
78,14:30:00,28,22,-22.65%,-0.285312126,20,30.00%
61,14:30:00,22,25,-23.66%,-0.293561097,27,33.33%
54,14:30:00,22,4,-23.67%,-0.291297986,38,28.95%
71,14:30:00,25,28,-23.92%,-0.28788678,29,27.59%
53,14:30:00,19,28,-24.06%,-0.310559686,24,33.33%
80,14:30:00,28,28,-24.13%,-0.298980713,21,28.57%
79,14:30:00,28,25,-24.49%,-0.302307625,21,28.57%
62,14:30:00,22,28,-25.15%,-0.307361307,27,33.33%
